,title,author,content
"In His Lover’s House, A Father Rises",Roxane Beth Johnson,"The end’s always there at the beginning
Dad said, quoting a prophet who knew then
what we’d come to—beings held in two hands
first slick with water, last a bowl of ash.
As a girl, I ironed his shirts, seams stained
from sweat, hot-washed in bleach turned yellow, and grass
scent of clean white rose under the iron’s
scald and steam I used to press his shirts out.
How fitting in the end a heap were found
in his lover’s house, the last I heard
of him who told me always that the grass
and ants were ancestors come back to see
if we’d crush them, then forget them again—
like dust their lives so small compared to ours."
Memoir,Jay Hopler,"Of the two undiscovered countries, Life and Death,
Which one lies the closer to God?"
"Out of These Wounds, the Moon Will Rise",Jay Hopler,"Now that the sun has set and the rain has abated,
And every porch light

in the neighborhood is lit,
Maybe we can invent something; I'd like a new

Way of experiencing the world, a way of taking
Into myself the single light shining at the center

Of all things without losing the dense, eccentric
Planets orbiting around it.

What you'd like is a more
Attentive lover, I suppose—· Too bad that slow,

Wet scorch of orange blossoms floating towards
The storm drain is not a vein of stars . . . we could

Make a wish on one of them; not that we would
Wish for anything but the impossible."
Mend,L. Renée,"My Mama had the gift of hand sewing—one perfect stitch
after another perfect stitch, eyeballing the precise length

of thread needed to repair what had ripped a gaping
hole, unmaking the whole swath of cotton-polyester fabric

she draped across her delicate boney shoulders before
a night out with my father—painting the town red

she said of those early dates when he handed her his fat
quarters hoping they would be enough to make something

beautiful like the outfits she sewed: plaid culottes with matching
vests, paisley dresses, fringed halters—she tells me this while

I watch the needle bully a ruby rivulet from her thumb, sullying
the myth of cotton without the blood, when she tries to mend

my middle-school uniform skirt, a navy pleat I never noticed
had been stretched into splitting—"
Sun to God,Ladan Osman,"The children walked.
Then they began to run.
Why are we running, one asked?
No one knew. They ran faster.
They began laughing.
Why are we laughing?
Not one knew. They laughed more.
It was the eve of war but they didn’t know.
The children walked.
The children’s parents walked.
The parents’ parents walked.
Their shadows spilled ahead.
Their shadows lagged behind.
Then, they began to run.
No one was laughing."
Tender,Jeremy Rock,"Not yet Spring, sunlight barely reaches
past the slider, so I array houseplants
like regents parading before the rabble

and lead with the blades. Just a few snips
before they' re done, cleaned of the veins and petals
that looked ready to come off. It must always

be pruning season, looking at these hands. Sometimes
I sit in the sun with them and drink dayglow slow
with ice water. In red clay I keep the cuttings, sisters

and daughters mudded for new roots, and these
wan stems finally learn to breathe. If not
for the starving of idyllic hamlets, where

would the flowers grow? At night I bring them in
so they can imagine what they're missing."
Between Us And,Anne Carson,"BETWEEN US AND
animals is a namelessness.
We    flail    around
generically      —
camelopardalis    is   what
the Romans came up with
or  ""giraffe"" ( it looked to
them  like a camel crossed
with a leopard ) or get the
category wrong — a musk
Ox  isn't  an  ox at  all but
more closely  cognate with
the   goat —  and   when
choosing   to    name
individual  animals  we
pretend  they  are   objects
(Spot) or  virtues  (Beauty)
or  just  other selves  (Bob)."
[I met a man a dying man],Diane Seuss,"I met a man a dying man and I said me too.
Met a dead man and I said me too. Must be
dead cuz the living can’t meet the dead and he
said me too. Did you know the dead can fall
in love he said. Fact. Did you know the dead
fall in love better than the living cuz nothing
left to lose. The root of all blues. Skeptical still
I strode onward in my seven-league boots as in
the fairy tale “Hop-o’-My-Thumb” from a book
of German fairy tales given to me when I had
chicken pox. Scratching myself bloody, the ogre
gored to death by wild beasts. Seven leagues per
stride toward a dead banjo player in a bad
mood. Enchanteur. Or zauberhaft in German."
"[Intimacy unhinged, unpaddocked me]",Diane Seuss,"Intimacy unhinged, unpaddocked me. I didn’t want it.
Believe me, I didn’t want it anymore. Who in their
right mind? And then it came like an ice cream truck
with its weird tinkling music, its sweet frost. I fled
to the shore and saw how death-strewn, all the body
parts washed up and sucked clean like that floor mosaic
by Sosus of Pergamon, Unswept House. Seabirds
flocked and dematerialized like they do. Bees raged
at their own dethroning. Love came close anyway,
found me out, its warped music all the rage. It had
a way, just by being in proximity, of opening
the shells of the bivalves. Disclosing their secret
meat. One doesn’t really suck on frozen sugar water.
One allows it to melt in the oven of the mouth."
"[It is abominable, unquenchable by touch]",Diane Seuss,"It is abominable, unquenchable by touch, closer
to the sublime than sentimental, more animal
than hominid, I’ve seen it in the eyes of birds
weaving on a stem of ragweed, voracious,
singular, there is no one like me, Dickinson in
her narrow bed, her cold clenched hands, her
penmanship unreadable, even following a recipe
for black cake, her black cake came out strange,
lusher than the template, and every freak I ever
met had that same look in their eyes, armless,
threading a needle with their lips and teeth,
legless, rounding a corner on their cerulean cart,
monarchic, imperious, wild, sad, and like every
virgin queen, the need for love revolting and grand."
